# Dependencies for design1034
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun Apr 24 08:52:34 NZST 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1034
# Codebase	./../grad006-03/design1034/design1034

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
kalah.House	kalah	Class	public	kalah.BoardSpot	kalah	Class	Extends	Header			To whole module	Public	None
kalah.House	kalah	Class	public	kalah.Player	kalah	Class	Parameter	Constructor	kalah.House#public <init>(kalah.Player,int,int) {}	0	To whole module	Public	None
kalah.House	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.House#public <init>(kalah.Player,int,int) {}	1,2	To whole module	Public	None
kalah.House	kalah	Class	public	kalah.BoardSpot	kalah	Class	InvokeSuper	Method	kalah.House#public <init>(kalah.Player,int,int) {}	1	kalah.BoardSpot#public <init>(kalah.Player,int) {}	Private	None
kalah.House	kalah	Class	public	kalah.House	kalah	Class	Put	Method	kalah.House#public <init>(kalah.Player,int,int) {}	2	kalah.House#private int number	Private	None
kalah.House	kalah	Class	public	int*		Primitive	Return	Method	kalah.House#public int getNumber() {}		To whole module	Public	None
kalah.House	kalah	Class	public	kalah.House	kalah	Class	Get	Method	kalah.House#public int getNumber() {}	1	kalah.House#private int number	Private	None
kalah.House	kalah	Class	public	int*		Primitive	Field	Field	kalah.House#private int number		To whole module	Private	None
kalah.UI	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.UI	kalah	Class	public	com.qualitascorpus.testsupport.IO*?	com.qualitascorpus.testsupport	Unknown	Parameter	Constructor	kalah.UI#public <init>(com.qualitascorpus.testsupport.IO) {}	0	To whole module	Public	None
